PDBCode,Resolution,Affinity,pKd pKi pIC50,Release Year,Enzyme,Ligand,Ecnumber,PubmedID,PubchemSID,Reference,UniProtKB AC,AffinityType,RootNumb,AffinityGivenUnits,Affinity_uM
2XAG,3.0999999,Ki=28uM,4.5500002,2010,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1,TCF,E.C.1.-.-.-,20415477.0,0,(2010) J.Am.Chem.Soc.Vol. 132: pp. 6827-6833,O60341 Q9UKL0,Ki,28.0,uM,28.0
2XAH,3.0999999,Ki=284uM,3.55,2010,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1,3PL,E.C.1.-.-.-,20415477.0,0,(2010) J.Am.Chem.Soc. Vol. 132: pp. 6827-6833,O60341 Q9UKL0,Ki,284.0,uM,284.0
2XAJ,3.3,Ki=168uM,3.77,2010,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1,TCA,E.C.1.-.-.-,20415477.0,0,(2010) J.Am.Chem.Soc. Vol. 132: pp. 6827-6833,O60341 Q9UKL0,Ki,168.0,uM,168.0
2XAQ,3.2,Ki=1.1uM,5.96,2010,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 AND REST COREPRESSOR 1,M84,E.C.1.-.-.-,20415477.0,0,(2010) J.Am.Chem.Soc. Vol. 132: pp. 6827-6,O60341 Q9UKL0,Ki,1.1,uM,1.1
2XAS,3.2,Ki=1.3uM,5.8899999,2010,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 AND REST COREPRESSOR 1,M80,E.C.-.-.-.-,20415477.0,0,(2010) J.Am.Chem.Soc. Vol. 132: pp. 6827-6,O60341 Q9UKL0,Ki,1.3,uM,1.3
2Y48,3.0,Ki=0.21mM,3.6800001000000004,2011,HISTONE DEMETHYLASE LSD1-COREST COMPLEX,N-TERMINAL SNAIL PEPTIDE of ZINC FINGER PROTEIN SNAI1,E.C.-.-.-.-,21300290.0,0,(2011) Structure Vol. 19: pp. 212-220,O95863 O60341 Q9UKL0,Ki,0.21,mM,210.0
3ABT,3.2,Ki=17uM,4.77,2010,"HUMAN LSD1, LYSINE-SPECIFIC HISTONE DEMETHYLASE 1",2PF,E.C.-.-.-.-,20568732.0,0,(2010) Biochemistry Vol. 49: pp. 6494-6503,O60341,Ki,17.0,uM,17.0
3ABU,3.0999999,Ki=2.4uM,5.619999900000001,2010,"HUMAN LSD1, LYSINE-SPECIFIC HISTONE DEMETHYLASE 1",12F,E.C.-.-.-.-,20568732.0,0,(2010) Biochemistry Vol. 49: pp. 6494-6503,O60341,Ki,2.4,uM,2.4
3P4Q,3.3499999,Ki=0.3uM,6.52,2010,ESCHERICHIA COLI MENAQUINOL:FUMARATE REDUCTASE (QFR),OAA,E.C.1.3.99.1,21098488.0,0,(2011) J.Biol.Chem. Vol. 286: pp. 3047-3056,P00363 P0A8Q0 P0A8Q3 P0AC47,Ki,0.3,uM,0.3
3P4R,3.05,Ki=1.9mM,2.72,2010,ESCHERICHIA COLI MENAQUINOL:FUMARATE REDUCTASE (QFR),GUA,E.C.1.3.99.1,21098488.0,0,(2011) J.Biol.Chem. Vol. 286: pp. 3047-3056,P00363 P0A8Q0 P0A8Q3 P0AC47,Ki,1.9,mM,1900.0
3SV6,1.4,Ki=34.4nM,7.46,2012,"NS3 PROTEASE, NS4A PROTEIN",SV6,E.C.-.-.-.-,22910833.0,0,(2012) Plos Pathog. Vol. 8: pp. e1002832-e1002832,A8DG50,Ki,34.4,nM,0.0344
3SV7,1.55,Ki=823nM,6.079999900000001,2012,"NS3 PROTEASE, NS4A PROTEIN(R155K)",SV6,E.C.-.-.-.-,22910833.0,0,(2012) Plos Pathog. Vol. 8: pp. e1002832-e1002832,A8DG50,Ki,823.0,nM,0.823
3SV8,2.5,Ki=12.2nM,7.9099998,2012,"NS3 PROTEASE, NS4A PROTEIN(D168A)",SV6,E.C.-.-.-.-,22910833.0,0,(2012) Plos Pathog. Vol. 8: pp. e1002832-e1002832,A8DG50,Ki,12.2,nM,0.012199999999999999
3SV9,1.6,Ki>10000nM,5.0,2012,"NS3 PROTEASE, NS4A PROTEIN(A156T)",SV6,E.C.-.-.-.-,22910833.0,0,(2012) Plos Pathog. Vol. 8: pp. e1002832-e1002832,A8DG50,Ki,10000.0,nM,10.0
3ZMT,3.0999999,Ki=28.4uM,4.5500002,2013,LSD1-COREST COMPLEX,6-mer,E.C.1.-.-.-,23721412.0,0,(2013) Acs Chem.Biol. Vol. 8: pp. 1677,O95863 O60341 Q9UKL0,Ki,28.4,uM,28.4
3ZMU,3.2,Ki=49.6uM,4.3000002,2013,LSD1-COREST COMPLEX,6-mer,E.C.1.-.-.-,23721412.0,0,(2013) Acs Chem.Biol. Vol. 8: pp. 1677,O60341 Q9UKL0,Ki,49.6,uM,49.6
3ZMV,3.0,Ki=55uM,4.2600002,2013,LSD1-COREST COMPLEX,6-mer,E.C.1.-.-.-,23721412.0,0,(2013) Acs Chem.Biol. Vol. 8: pp. 1677,O60341 Q9UKL0,Ki,55.0,uM,55.0
3ZMZ,3.0,Ki=18uM,4.7399998,2013,LSD1-COREST COMPLEX,6-mer,E.C.1.-.-.-,23721412.0,0,(2013) Acs Chem.Biol. Vol. 8: pp. 1677,O60341 Q9UKL0,Ki,18.0,uM,18.0
3ZN0,2.8,Ki=10.7uM,4.9699998,2013,LSD1-COREST COMPLEX,6-mer,E.C.1.-.-.-,23721412.0,0,(2013) Acs Chem.Biol. Vol. 8: pp. 1677,O60341 Q9UKL0,Ki,10.7,uM,10.7
3ZN1,3.0999999,Ki=29.1uM,4.54,2013,LSD1-COREST COMPLEX,6-mer,E.C.1.-.-.-,23721412.0,0,(2013) Acs Chem.Biol. Vol. 8: pp. 1677,O60341 Q9UKL0,Ki,29.1,uM,29.1
5H6Q,2.53,Ki=0.06uM,7.219999799999999,2017,LSD1-COREST COMPLEX,21-mer peptide 11,E.C.-.-.-.-,28336409.0,0,(2017) Bioorg. Med. Chem. Vol. 25: pp. 2617-2624,O60341 Q9UKL0 P68431,Ki,0.06,uM,0.06
5H6R,2.5999999,Ki=6.3uM,5.1999998,2017,LSD1-COREST COMPLEX,21-mer peptide 13,E.C.-.-.-.-,28336409.0,0,(2017) Bioorg. Med. Chem. Vol. 25: pp. 2617-2624,O60341 Q9UKL0 P68431,Ki,6.3,uM,6.3
